Artists,URI
Yng Lvcas,spotify:artist:1NNRWkhwmcXRimFYSBpB1y
Tory Lanez,spotify:artist:2jku7tDXc6XoB6MO2hFuqg
ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81
Polo G,spotify:artist:6AgTAQt8XS6jRWi4sX7w49
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
Yandel,spotify:artist:6V394G6torkxVfqL39qEgK
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
Duki,spotify:artist:5yGfPBU9IdpwZjK7WALeCv
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Enrique Iglesias,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj
Anirudh Ravichander,spotify:artist:4zCH9qm4R2DADamUHMCa6O
Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq
Ryan Castro,spotify:artist:7j6DKwmjbxvpQO8h914uEz
Don Toliver,spotify:artist:4Gso3d4CscCijv0lmajZWs
Alok,spotify:artist:0NGAZxHanS9e0iNHpR8f2W
Romeo Santos,spotify:artist:5lwmRuXgjX8xIwlnauTZIP
Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
Peggy Gou,spotify:artist:2mLA48B366zkELXYx7hcDN
Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
Whitney Houston,spotify:artist:6XpaIBNiVzIetEPCWDvAFP
Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
Tom Odell,spotify:artist:2txHhyCwHjUEpJjWrEyqyX
Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5
Disney,spotify:artist:3xvaSlT4xsyk6lY1ESOspO
2Pac,spotify:artist:1ZwdS5xdxEREPySFridCfh
Giveon,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP
Joji,spotify:artist:4u45IgUkhkBn4KXHnuiXvm
Em Beihold,spotify:artist:7o2ZQYM7nTsaVdkXY38UAA
R3HAB,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ
Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym
Fuerza Regida,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt
Panic! At The Disco,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
Dr. Dre,spotify:artist:3TVXtAsR1Inumwj472S9r4
Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR
El Alfa,spotify:artist:2oQX8QiMXOyuqbcZEFsZfm
Ne-Yo,spotify:artist:7wlFDEWiM5OoIAt8RSli8b
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e
Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT
Eladio Carrion,spotify:artist:5XJDexmWFLWOkjOEjOVX3e
Trippie Redd,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax
Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC
Ryan Lewis,spotify:artist:5mZJerulcERBZV7xnhrVp1
The Lumineers,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg
Shilpa Rao,spotify:artist:19LIHDDSHBD5NyYHI3gpzB
Nicki Nicole,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y
Mora,spotify:artist:1TfSVLC8KtuIo6uWNqCbqU
Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK
The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
Kim Petras,spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J
Luis Fonsi,spotify:artist:4V8Sr092TqfHkfAA5fXXqG
Vishal-Shekhar,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb
Sachin-Jigar,spotify:artist:1mBydYMVBECdDmMfE2sEUO
Skrillex,spotify:artist:5he5w2lnU9x7JFhnwcekXX
Paramore,spotify:artist:74XFHRwlV6OrjEM0A2NCMF
MEDUZA,spotify:artist:0xRXCcSX89eobfrshSVdyu
Clean Bandit,spotify:artist:6MDME20pz9RveH9rEXvrOM
Camilo,spotify:artist:28gNT5KBp7IjEOQoevXf9N
The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb
Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
Felix Jaehn,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
Lizzo,spotify:artist:56oDRnqbIiwx4mymNEv7dS
Jonas Blue,spotify:artist:1HBjj22wzbscIZ9sEb5dyf
John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
Sech,spotify:artist:77ziqFxp5gaInVrF2lj4ht
Outkast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
Zach Bryan,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
Summer Walker,spotify:artist:57LYzLEk2LcFghVwuWbcuS
JID,spotify:artist:1pCnl9PbA9JaffWHMiSXuT
Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9
Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD
Phil Collins,spotify:artist:4lxfqrEsLX6N1N4OCSkILp
Bastille,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc
Zion & Lennox,spotify:artist:21451j1KhjAiaYKflxBjr1
Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB
Tanishk Bagchi,spotify:artist:4f7KfxeHq9BiylGmyXepGt
Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb
Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
Natanael Cano,spotify:artist:0elWFr7TW8piilVRYJUe4P
TOTO,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF
Offset,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
Plan B,spotify:artist:2jSGzJw0ebJLu7OLVSOcBP
NLE Choppa,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ
U2,spotify:artist:5yGfPBU9IdpwZjK7WALeCv
Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
Jubin Nautiyal,spotify:artist:1tqysapcCh1lWEAc9dIFpa
KK,spotify:artist:4AGwPDdh1y8hochNzHy5HC
Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa
Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa
Tears For Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU
Udit Narayan,spotify:artist:70B80Lwx2sxti0M1Ng9e8K
Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA
Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY
Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
Rels B,spotify:artist:2IMZYfNi21MGqxopj9fWx8
Tiago PZK,spotify:artist:5Y3MV9DZ0d87NnVm56qSY1
Chris Stapleton,spotify:artist:4YLtscXsxbVgi031ovDDdh
Christian Nodal,spotify:artist:0XwVARXT135rw8lyw1EeWP
Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc
5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
Reik,spotify:artist:3L7L7o7SKkWI8wsU43ycRl
Darshan Raval,spotify:artist:2GoeZ0qOTt6kjsWW4eA6LS
Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ
Bob Marley & The Wailers,spotify:artist:2QsynagSdAqZj3U9HgDzjD
Gabito Ballesteros,spotify:artist:6Sbl0NT50roqWvy746MfVf
Alesso,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
Florence + The Machine,spotify:artist:1moxjboGR7GNWYIMWsRjgG
PNAU,spotify:artist:6n28c9qs9hNGriNa72b26u
A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I
B.o.B,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
Grupo Firme,spotify:artist:1dKdetem2xEmjgvyymzytS
Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi
TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp
Alka Yagnik,spotify:artist:3gBKY0y3dFFVRqicLnVZYz
Jay Wheeler,spotify:artist:2cPqdH7XMvwaBJEVjheH8g
Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX
Shankar Mahadevan,spotify:artist:1SJOL9HJ08YOn92lFcYf8a
Big Sean,spotify:artist:0c173mlxpT3dSFRgMO8XPh
Becky Hill,spotify:artist:4EPJlUEBy49EX1wuFOvtjK
Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m
Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
Hotel Ugly,spotify:artist:35WVTyRnKAoaGExqgktVyb
The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ
MC Kevin o Chris,spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ
Danny Ocean,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
Led Zeppelin,spotify:artist:36QJpDe2go2KgaRleHCDTp
Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
Juanes,spotify:artist:0UWZUmn7sybxMCqrw9tGa7
Journey,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
Vishal Mishra,spotify:artist:5wJ1H6ud777odtZl5gG507
French Montana,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
Train,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
Doechii,spotify:artist:4E2rKHVDssGJm2SCDOMMJB
Piso 21,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd
Jonita Gandhi,spotify:artist:00sCATpEvwH48ays7PlQFU
R.E.M.,spotify:artist:4KWTAlx2RvbpseOGMEmROg
Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju
Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
Oliver Tree,spotify:artist:6TLwD7HPWuiOzvXEa3oCNe
blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP
Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
Alec Benjamin,spotify:artist:5IH6FPUwQTxPSXurCrcIov
"Earth, Wind & Fire",spotify:artist:4QQgXkCYTt3BlENzhyNETg
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
League of Legends,spotify:artist:47mIJdHORyRerp4os813jD
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp
Dire Straits,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T
a-ha,spotify:artist:77tT1kLj6mCWtFNqiOmP9H
Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij
Aventura,spotify:artist:1qto4hHid1P71emI6Fd8xi
System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1
ManÃ¡,spotify:artist:7okwEbXzyT2VffBmyQBWLz
Daryl Hall & John Oates,spotify:artist:77tT1kLj6mCWtFNqiOmP9H
BeÃ©le,spotify:artist:2JvDmwhrBiIlSwUI7QHvqe
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM
Justin Quiles,spotify:artist:14zUHaJZo1mnYtn6IBRaRP
Little Mix,spotify:artist:3e7awlrlDSwF3iM0WBjGMp
Luis Miguel,spotify:artist:2nszmSgqreHSdJA3zWPyrW
Dean Lewis,spotify:artist:3QSQFmccmX81fWCUSPTS7y
De La Ghetto,spotify:artist:3EiLUeyEcA6fbRPSHkG5kb
YoungBoy Never Broke Again,spotify:artist:7wlFDEWiM5OoIAt8RSli8b
Baby Keem,spotify:artist:5SXuuuRpukkTvsLuUknva1
Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
PARTYNEXTDOOR,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
Vishal Dadlani,spotify:artist:6CXEwIaXYfVJ84biCxqc9k
Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl
G-Eazy,spotify:artist:69YaYOHM15q8qLTSkLBJer
Backstreet Boys,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
Sonu Nigam,spotify:artist:1dVygo6tRFXC8CSWURQJq2
The Cranberries,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9
The Cure,spotify:artist:7bu3H8JO7d0UbMoVzbo70s
Chinmayi,spotify:artist:5UJ2sHO2ELrgW6aXeRLTQQ
Lil Tjay,spotify:artist:6jGMq4yGs7aQzuGsMgVgZR
Atif Aslam,spotify:artist:2oSONSC9zQ4UonDKnLqksx
Cris Mj,spotify:artist:1Yj5Xey7kTwvZla8sqdsdE
Steve Aoki,spotify:artist:77AiFEVeAVj2ORpC85QVJs
Mac DeMarco,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL
Emilia,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9
George Michael,spotify:artist:19ra5tSw0tWufvUp8GotLo
